,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Haiden Palmer,6,20,6,17,0,3,2,3,2,3,7,2,0,1,2,14,0.1,7.0
1,Sunny Greinacher,7,13,7,13,0,0,3,4,4,4,3,0,1,1,3,17,0.23076923076923078,3.0
2,Jazmine Redmon,0,5,0,3,0,2,1,2,0,5,4,1,1,2,3,1,0.2,2.0
3,Keani Albanez,3,9,1,2,2,7,4,5,0,2,0,1,2,3,2,12,0.4444444444444444,0.0
4,Shelby Cheslek,3,7,3,7,0,0,0,0,1,5,1,1,1,0,2,6,0.0,0.0
13,School Totals,23,70,19,50,4,20,13,18,10,25,18,6,5,11,18,63,0.18571428571428572,1.6363636363636365
