,Northwestern ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Veronica Burton,4,12,2,7,2,5,3,5,2,2,5,2,0,1,4,13,0.25,5.0
1,Lindsey Pulliam,1,11,1,11,0,0,2,4,0,4,2,3,1,1,3,4,0.18181818181818182,2.0
2,Jordan Hamilton,6,17,3,8,3,9,2,2,1,4,2,1,0,3,2,17,0.11764705882352941,0.6666666666666666
3,Sydney Wood,2,6,2,6,0,0,0,0,3,4,4,2,2,2,4,4,0.0,2.0
4,Paige Mott,1,3,1,3,0,0,0,0,0,4,0,0,0,1,2,2,0.0,0.0
7,School Totals,20,61,14,46,6,15,7,13,9,20,14,10,6,10,18,53,0.11475409836065574,1.4
