,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dana Evans,5,17,3,7,2,10,2,4,0,2,2,2,0,1,4,14,0.11764705882352941,2.0
1,Kianna Smith,5,10,3,5,2,5,4,4,1,5,2,0,0,2,1,16,0.4,1.0
2,Hailey Van Lith,4,4,2,2,2,2,3,3,0,0,1,1,0,4,3,13,0.75,0.25
3,Mykasa Robinson,1,4,1,4,0,0,2,2,3,6,1,1,1,3,2,4,0.5,0.3333333333333333
4,Olivia Cochran,3,9,3,9,0,0,7,9,5,10,1,0,1,2,0,13,0.7777777777777778,0.5
9,School Totals,19,53,13,34,6,19,18,22,11,31,10,4,4,16,14,62,0.33962264150943394,0.625
