,Unnamed: 0_level_0,Unnamed: 1_level_0,Four Factors,Four Factors,Four Factors,Four Factors,Unnamed: 6_level_0
,Unnamed: 0_level_1,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
0,Louisville,79.7,0.515,16.5,34.4,0.273,107.5
1,Tennessee,79.7,0.485,16.4,36.4,0.231,97.5
