,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Joanne Allen-Taylor,7,11,7,11,0,0,3,3,1,0,3,1,0,3,0,17,0.2727272727272727,1.0
1,Lauren Ebo,3,5,3,5,0,0,3,4,3,5,0,1,0,2,2,9,0.6,0.0
2,Rori Harmon,2,4,2,4,0,0,2,2,0,2,3,1,0,3,4,6,0.5,1.0
3,DeYona Gaston,3,5,3,5,0,0,2,2,2,3,1,0,1,1,0,8,0.4,1.0
4,Shay Holle,1,4,1,3,0,1,0,0,0,0,0,0,0,0,1,2,0.0,0.0
9,School Totals,26,55,24,51,2,4,12,15,10,18,9,12,4,17,12,66,0.21818181818181817,0.5294117647058824
