,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Mikesell,7,12,4,8,3,4,2,2,1,2,1,0,1,1,1,19,0.16666666666666666,1.0
1,Jacy Sheldon,7,16,6,14,1,2,2,2,1,5,4,4,0,6,3,17,0.125,0.6666666666666666
2,Braxtin Miller,6,10,6,10,0,0,0,0,1,3,0,0,2,5,2,12,0.0,0.0
3,Rikki Harris,1,6,1,3,0,3,2,2,0,1,2,3,0,0,2,4,0.3333333333333333,0.0
4,Rebeka Mikulasikova,1,4,1,3,0,1,1,1,2,1,1,0,0,3,3,3,0.25,0.3333333333333333
8,School Totals,26,61,22,49,4,12,7,7,12,18,10,11,5,17,17,63,0.11475409836065574,0.5882352941176471
