,Northwestern ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsey Pulliam,9,16,8,14,1,2,6,6,0,3,3,1,1,3,1,25,0.375,1.0
1,Jordan Hamilton,3,7,2,3,1,4,1,3,0,1,8,2,0,4,2,8,0.14285714285714285,2.0
2,Sydney Wood,0,0,0,0,0,0,0,0,0,4,3,2,2,3,2,0,0.0,1.0
3,Veronica Burton,1,7,1,4,0,3,2,2,0,6,3,1,1,1,5,4,0.2857142857142857,3.0
4,Paige Mott,3,3,3,3,0,0,1,2,1,1,0,0,0,1,1,7,0.3333333333333333,0.0
7,School Totals,22,43,19,33,3,10,15,21,2,19,19,8,7,13,14,62,0.3488372093023256,1.4615384615384615
