,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Mikesell,5,13,4,7,1,6,3,4,2,2,3,1,0,2,0,14,0.23076923076923078,1.5
1,Kaila Charles,9,20,9,20,0,0,5,7,4,4,1,0,0,1,3,23,0.25,1.0
2,Shakira Austin,6,10,6,10,0,0,3,6,6,4,0,3,6,2,1,15,0.3,0.0
3,Stephanie Jones,7,8,7,8,0,0,1,4,1,3,0,0,1,0,4,15,0.125,0.0
4,Blair Watson,0,4,0,1,0,3,0,0,1,1,3,0,0,2,4,0,0.0,1.5
8,School Totals,32,68,31,55,1,13,15,25,17,21,12,7,8,13,19,80,0.22058823529411764,0.9230769230769231
