,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Makayla Epps,4,11,4,11,0,0,5,8,3,2,3,3,0,1,1,13,0.45454545454545453,3.0
1,Bria Goss,3,6,3,3,0,3,7,9,4,5,1,2,1,1,2,13,1.1666666666666667,1.0
2,Jennifer O'Neill,5,7,2,4,3,3,0,0,1,1,1,0,0,2,1,13,0.0,0.5
3,Azia Bishop,3,6,3,5,0,1,0,0,2,4,1,1,1,3,4,6,0.0,0.3333333333333333
4,Jelleah Sidney,1,3,1,3,0,0,0,0,0,3,5,5,0,2,1,2,0.0,2.5
10,School Totals,29,59,21,40,8,19,31,42,16,35,17,18,7,17,19,97,0.5254237288135594,1.0
