,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madison Guebert,7,16,4,8,3,8,4,4,0,2,1,2,1,1,4,21,0.25,1.0
1,Tagyn Larson,2,6,2,3,0,3,4,6,1,3,3,0,1,3,1,8,0.6666666666666666,1.0
2,Macy Miller,10,18,10,15,0,3,5,6,1,7,2,1,1,3,1,25,0.2777777777777778,0.6666666666666666
3,Ellie Thompson,6,8,6,8,0,0,4,6,2,5,2,0,1,0,4,16,0.5,0.0
4,Alexis Alexander,0,1,0,0,0,1,0,0,0,2,3,2,0,0,3,0,0.0,0.0
9,School Totals,27,57,24,41,3,16,17,22,4,28,13,6,5,9,21,74,0.2982456140350877,1.4444444444444444
