,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexie Brown,4,11,2,5,2,6,0,0,0,1,4,7,0,3,1,10,0.0,1.3333333333333333
1,Leaonna Odom,9,17,9,17,0,0,4,6,2,6,4,1,0,1,4,22,0.23529411764705882,4.0
2,Erin Mathias,3,10,3,10,0,0,1,1,4,4,1,1,1,0,1,7,0.1,0.0
3,Rebecca Greenwell,2,6,0,3,2,3,0,0,1,4,0,2,0,4,2,6,0.0,0.0
4,Faith Suggs,0,4,0,1,0,3,0,0,0,1,1,0,0,0,0,0,0.0,0.0
9,School Totals,23,60,18,44,5,16,8,10,8,19,12,11,2,10,12,59,0.13333333333333333,1.2
