,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maite Cazorla,5,9,5,7,0,2,5,5,0,1,2,0,0,1,1,15,0.5555555555555556,2.0
1,Sabrina Ionescu,7,13,4,8,3,5,4,4,0,6,7,2,0,4,4,21,0.3076923076923077,1.75
2,Lexi Bando,3,9,0,1,3,8,1,2,0,1,2,2,0,1,0,10,0.1111111111111111,2.0
3,Ruthy Hebard,7,19,7,19,0,0,2,2,6,2,0,3,0,2,3,16,0.10526315789473684,0.0
4,Mallory McGwire,2,5,2,5,0,0,0,0,0,3,2,0,1,4,4,4,0.0,0.5
12,School Totals,28,61,22,46,6,15,15,16,11,17,14,11,1,15,15,77,0.2459016393442623,0.9333333333333333
