,Xavier ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amber Harris,10,17,10,17,0,0,0,2,3,4,1,1,2,4,3,20,0.0,0.25
1,Special Jennings,2,7,2,5,0,2,1,2,0,2,3,2,0,2,2,5,0.14285714285714285,1.5
2,Tyeasha Moss,2,10,1,3,1,7,0,0,1,4,1,1,0,0,0,5,0.0,0.0
3,April Phillips,4,6,4,6,0,0,3,5,2,4,4,0,0,2,4,11,0.5,2.0
4,Ta'Shia Phillips,1,3,1,3,0,0,0,0,3,5,0,1,0,3,5,2,0.0,0.0
8,School Totals,23,60,22,46,1,14,6,11,10,24,11,8,2,12,17,53,0.1,0.9166666666666666
