,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ally Malott,5,10,1,4,4,6,0,0,1,4,0,1,1,2,3,14,0.0,0.0
1,Andrea Hoover,5,9,2,4,3,5,0,0,2,2,4,2,0,4,4,13,0.0,1.0
2,Jenna Burdette,4,10,3,7,1,3,1,1,0,1,0,0,0,2,1,10,0.1,0.0
3,Kelley Austria,5,10,4,8,1,2,0,0,0,2,5,1,2,2,1,11,0.0,2.5
4,Jodie Cornelie-Sigmundova,3,5,3,5,0,0,1,2,2,4,0,0,2,1,3,7,0.2,0.0
7,School Totals,28,62,18,43,10,19,4,5,7,18,12,4,5,15,16,70,0.06451612903225806,0.8
