,UC Davis ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Morgan Bertsch,8,25,7,21,1,4,8,8,0,4,1,2,1,2,2,25,0.32,0.5
1,Kourtney Eaton,1,7,1,2,0,5,0,0,0,2,1,1,0,2,3,2,0.0,0.5
2,Karley Eaton,0,2,0,0,0,2,2,2,1,1,1,0,0,1,3,2,1.0,1.0
3,Sophia Song,1,5,1,2,0,3,0,0,0,1,1,0,0,0,1,2,0.0,0.0
4,Cierra Hall,0,2,0,2,0,0,0,0,2,1,1,0,0,3,3,0,0.0,0.3333333333333333
11,School Totals,16,55,9,28,7,27,15,16,4,21,6,5,2,14,14,54,0.2727272727272727,0.42857142857142855
