,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elisha Davis,2,4,1,1,1,3,0,0,1,2,6,3,0,3,1,5,0.0,2.0
1,Sophie Brunner,5,8,5,8,0,0,4,6,3,3,2,3,1,4,4,14,0.5,0.5
2,Katie Hempen,6,11,1,2,5,9,6,7,0,4,1,1,0,4,2,23,0.5454545454545454,0.25
3,Promise Amukamara,2,5,2,5,0,0,4,5,0,2,2,3,0,1,4,8,0.8,2.0
4,Kelsey Moos,1,1,1,1,0,0,1,3,1,1,1,1,0,0,1,3,1.0,0.0
12,School Totals,25,45,17,29,8,16,16,25,7,21,19,13,6,17,19,74,0.35555555555555557,1.1176470588235294
