,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Laura Cornelius,3,7,2,3,1,4,2,2,1,4,5,2,0,1,4,9,0.2857142857142857,5.0
1,Mykea Gray,1,4,0,2,1,2,7,8,0,2,2,2,1,5,1,10,1.75,0.4
2,Emese Hof,4,11,4,11,0,0,2,2,2,10,4,0,1,1,4,10,0.18181818181818182,4.0
3,Beatrice Mompremier,8,15,8,15,0,0,5,8,1,9,1,1,3,5,1,21,0.3333333333333333,0.2
4,Endia Banks,4,8,1,3,3,5,3,4,1,6,4,1,0,2,1,14,0.375,2.0
10,School Totals,22,50,16,35,6,15,19,24,6,36,17,6,5,17,15,69,0.38,1.0
