,Dayton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Andrea Hoover,8,15,4,7,4,8,2,2,0,4,2,4,0,5,3,22,0.13333333333333333,0.4
1,Amber Deane,6,12,6,9,0,3,2,2,2,0,3,3,0,3,3,14,0.16666666666666666,1.0
2,Celeste Edwards,7,16,6,11,1,5,0,0,1,2,4,1,0,3,1,15,0.0,1.3333333333333333
3,Ally Malott,3,6,2,3,1,3,5,6,0,3,2,1,3,1,4,12,0.8333333333333334,2.0
4,Cassie Sant,1,2,1,2,0,0,1,2,1,3,0,0,1,1,4,3,0.5,0.0
9,School Totals,26,57,20,37,6,20,11,14,5,19,13,9,5,17,18,69,0.19298245614035087,0.7647058823529411
