,Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Lewis,4,7,4,7,0,0,3,5,3,8,2,3,1,3,2,11,0.42857142857142855,0.6666666666666666
1,Jaterra Bonds,7,11,7,10,0,1,1,3,1,3,2,1,0,3,3,15,0.09090909090909091,0.6666666666666666
2,Cassie Peoples,6,10,5,7,1,3,8,8,0,4,6,0,0,5,1,21,0.8,1.2
3,Carlie Needles,4,8,1,1,3,7,0,0,1,2,0,1,0,1,2,11,0.0,0.0
4,Ronni Williams,6,13,6,13,0,0,3,3,4,2,2,3,0,3,4,15,0.23076923076923078,0.6666666666666666
8,School Totals,30,64,25,44,5,20,18,23,13,25,14,10,1,17,15,83,0.28125,0.8235294117647058
