,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maegan Conwright,7,12,5,8,2,4,0,0,0,1,4,5,0,2,0,16,0.0,2.0
1,Leticia Romero,5,6,4,5,1,1,3,3,1,7,10,1,2,2,0,14,0.5,5.0
2,Ivey Slaughter,4,7,4,7,0,0,5,6,3,0,0,3,1,3,3,13,0.7142857142857143,0.0
3,Adut Bulgak,3,8,3,8,0,0,2,2,1,4,2,3,0,1,2,8,0.25,2.0
4,Brittany Brown,2,4,2,4,0,0,5,6,1,1,1,2,0,1,1,9,1.25,1.0
12,School Totals,31,59,27,50,4,9,25,29,12,25,22,18,5,15,9,91,0.423728813559322,1.4666666666666666
