,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Central Michigan ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Brandie Baker,40,4,10,.400,4,8,.500,0,2,.000,4,6,.667,3,1,4,5,1,0,0,3,12
1,Crystal Bradford,35,14,31,.452,9,21,.429,5,10,.500,3,5,.600,9,5,14,2,7,2,2,3,36
2,Niki DiGuilio,34,3,13,.231,0,1,.000,3,12,.250,1,2,.500,2,0,2,1,1,1,3,4,10
3,Jessica Schroll,28,2,11,.182,2,10,.200,0,1,.000,0,0,,4,3,7,0,0,0,1,1,4
4,Taylor Johnson,22,1,13,.077,1,8,.125,0,5,.000,4,4,1.000,3,5,8,0,2,1,0,1,6
6,Jas'Mine Bracey,27,1,2,.500,1,2,.500,0,0,,1,2,.500,0,3,3,1,0,0,1,2,3
7,Jalisa Olive,14,1,4,.250,1,1,1.000,0,3,.000,0,0,,1,0,1,1,1,0,0,2,2
8,School Totals,200,26,84,.310,18,51,.353,8,33,.242,13,19,.684,22,17,39,10,12,4,7,16,73
