,Marist ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Corielle Yarde,8,13,6,9,2,4,3,3,1,6,3,1,0,4,0,21,0.23076923076923078,0.75
1,Brandy Gang,6,10,3,5,3,5,3,4,1,3,0,1,2,1,1,18,0.3,0.0
2,Leanne Ockenden,3,5,2,2,1,3,0,0,1,2,1,0,0,1,3,7,0.0,1.0
3,Elizabeth Beynnon,3,4,3,4,0,0,2,2,1,9,2,0,0,2,0,8,0.5,1.0
4,Casey Dulin,2,10,2,9,0,1,7,10,0,1,2,1,0,4,2,11,0.7,0.5
8,School Totals,24,46,17,31,7,15,21,25,4,23,8,4,2,17,9,76,0.45652173913043476,0.47058823529411764
