,St. John's ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aliyyah Handford,8,21,8,21,0,0,11,15,1,0,4,0,0,4,3,27,0.5238095238095238,1.0
1,Eugeneia McPherson,0,4,0,3,0,1,9,10,1,3,4,3,1,6,4,9,2.25,0.6666666666666666
2,Amber Thompson,5,7,5,7,0,0,0,0,5,12,0,0,0,1,4,10,0.0,0.0
3,Briana Brown,1,6,0,2,1,4,0,0,0,1,1,0,0,1,4,3,0.0,1.0
4,Danaejah Grant,0,4,0,3,0,1,0,0,0,4,0,0,0,2,4,0,0.0,0.0
9,School Totals,21,54,19,46,2,8,27,33,11,26,10,5,4,19,28,71,0.5,0.5263157894736842
