,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Thomas,14,25,13,21,1,4,4,4,4,9,3,1,0,0,2,33,0.16,0.0
1,Alicia DeVaughn,0,3,0,3,0,0,1,2,5,5,0,1,0,2,4,1,0.3333333333333333,0.0
2,Lexie Brown,4,11,2,6,2,5,4,6,1,1,1,5,0,6,4,14,0.36363636363636365,0.16666666666666666
3,Brionna Jones,1,1,1,1,0,0,0,0,0,0,1,2,0,3,5,2,0.0,0.3333333333333333
4,Katie Rutan,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0.0,0.0
10,School Totals,27,70,22,52,5,18,14,19,17,22,9,13,0,16,25,73,0.2,0.5625
