,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Moriah Jefferson,5,6,5,5,0,1,0,0,1,2,7,1,1,5,1,10,0.0,1.4
1,Breanna Stewart,7,10,5,8,2,2,0,0,1,7,2,2,1,0,3,16,0.0,0.0
2,Morgan Tuck,8,13,4,5,4,8,1,1,0,3,3,0,0,2,0,21,0.07692307692307693,1.5
3,Kia Nurse,3,6,1,4,2,2,1,2,1,1,5,0,0,1,1,9,0.16666666666666666,5.0
4,Katie Lou Samuelson,3,7,2,5,1,2,0,0,1,2,2,1,0,0,1,7,0.0,0.0
12,School Totals,34,60,25,43,9,17,3,5,7,21,19,8,5,10,13,80,0.05,1.9
