,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Japreece Dean,6,22,5,11,1,11,3,4,0,0,3,0,0,1,0,16,0.13636363636363635,3.0
1,Lindsey Corsaro,3,8,1,3,2,5,3,4,0,4,2,1,3,3,1,11,0.375,0.6666666666666666
2,Michaela Onyenwere,4,11,4,11,0,0,0,0,8,7,1,0,0,2,3,8,0.0,0.5
3,Kennedy Burke,4,12,2,9,2,3,4,4,5,5,2,2,0,2,4,14,0.3333333333333333,1.0
4,Lajahna Drummer,2,9,1,8,1,1,1,2,3,3,3,1,2,1,4,6,0.1111111111111111,3.0
8,School Totals,21,67,15,45,6,22,13,16,16,20,11,5,6,10,14,61,0.19402985074626866,1.1
