,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brianna Butler,2,11,2,6,0,5,9,10,1,9,3,1,0,1,1,13,0.8181818181818182,3.0
1,Shakeya Leary,4,8,4,8,0,0,7,8,5,3,0,0,0,1,1,15,0.875,0.0
2,Rachel Coffey,2,6,1,2,1,4,0,1,1,3,1,0,0,0,2,5,0.0,0.0
3,Brittney Sykes,4,12,4,11,0,1,5,5,5,7,1,1,0,2,0,13,0.4166666666666667,0.5
4,Isabella Slim,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0.0,0.0
11,School Totals,17,54,16,39,1,15,24,31,18,32,5,3,1,9,15,59,0.4444444444444444,0.5555555555555556
