,Chattanooga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taylor Hall,7,16,4,9,3,7,2,2,4,6,6,0,0,2,1,19,0.125,3.0
1,Alex Black,3,9,0,2,3,7,0,1,0,3,2,0,0,0,2,9,0.0,0.0
2,Chelsey Shumpert,1,6,0,0,1,6,0,0,0,1,1,1,0,2,3,3,0.0,0.5
3,Faith Dupree,4,8,4,8,0,0,0,0,1,0,1,0,0,0,2,8,0.0,0.0
4,Aryanna Gilbert,0,1,0,1,0,0,0,0,1,3,0,0,0,1,1,0,0.0,0.0
11,School Totals,21,61,14,34,7,27,4,14,11,18,14,2,3,8,21,53,0.06557377049180328,1.75
