,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nnemkadi Ogwumike,4,9,4,9,0,0,3,4,1,10,3,0,0,2,1,11,0.3333333333333333,1.5
1,Kayla Pedersen,6,13,6,12,0,1,1,1,5,10,0,0,2,1,1,13,0.07692307692307693,0.0
2,Jeanette Pohlen,5,10,3,4,2,6,0,0,0,1,5,2,1,1,2,12,0.0,5.0
3,Jayne Appel,6,12,6,12,0,0,5,5,3,2,2,0,0,2,2,17,0.4166666666666667,1.0
4,Rosalyn Gold-Onwude,1,7,1,5,0,2,0,0,1,2,3,1,0,1,1,2,0.0,3.0
14,School Totals,28,66,23,49,5,17,12,15,16,33,19,4,3,11,10,73,0.18181818181818182,1.7272727272727273
