,Georgia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jasmine James,1,9,0,5,1,4,1,2,1,3,0,1,0,0,1,4,0.1111111111111111,0.0
1,Ashley Houts,2,11,2,6,0,5,3,4,1,3,1,2,0,1,2,7,0.2727272727272727,1.0
2,Meredith Mitchell,2,10,2,6,0,4,1,1,1,5,2,1,0,2,3,5,0.1,1.0
3,Porsha Phillips,2,12,2,11,0,1,3,4,1,3,0,0,2,2,2,7,0.25,0.0
4,Angel Robinson,0,4,0,4,0,0,0,0,2,3,1,0,3,3,4,0,0.0,0.3333333333333333
11,School Totals,12,59,8,37,4,22,8,13,8,23,4,5,6,12,17,36,0.13559322033898305,0.3333333333333333
