,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Lindsey Moore,37,1.029,1.250,.500,2.500,0.0,3.7,2.0,52.1,1.5,0.0,62.5,15.4,108,104
1,Kelsey Griffin,35,.483,.417,.000,1.167,23.8,35.5,30.2,17.8,1.6,4.7,9.9,29.3,114,88
2,Cory Montgomery,35,.647,.667,.500,.333,4.8,11.8,8.6,15.9,1.6,0.0,0.0,10.0,150,100
3,Dominique Kelley,30,.866,.929,.143,1.714,5.6,13.8,10.1,15.7,1.8,0.0,14.0,24.2,155,99
4,Yvonne Turner,23,.483,.500,.727,.273,0.0,6.0,3.3,0.0,0.0,0.0,0.0,27.2,99,106
6,Nicole Neals,18,.750,.750,1.000,.000,0.0,0.0,0.0,19.5,0.0,0.0,33.3,8.5,114,109
7,Kala Kuhlmann,11,1.017,1.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,58.1,31.8,66,109
8,Catheryn Redmon,9,.667,.667,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.6,85,109
9,Jessica Periago,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,109
10,Layne Reeves,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,109
11,School Totals,200,.658,.644,.333,.844,29.2,58.6,45.3,84.0,5.5,4.1,21.2,100.0,113.7,95.9
