,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brianna Butler,5,19,2,9,3,10,2,2,0,3,1,2,1,6,4,15,0.10526315789473684,0.16666666666666666
1,La'Shay Taft,1,8,1,2,0,6,1,2,2,2,1,0,0,2,1,3,0.125,0.5
2,Shakeya Leary,2,5,2,5,0,0,2,2,3,4,0,1,1,1,4,6,0.4,0.0
3,Rachel Coffey,2,8,1,3,1,5,0,1,0,3,1,0,0,5,4,5,0.0,0.2
4,Isabella Slim,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0
9,School Totals,21,63,16,38,5,25,12,16,13,23,6,4,4,23,24,59,0.19047619047619047,0.2608695652173913
