,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Peyton Little,1,8,0,4,1,4,1,2,1,2,0,1,0,1,3,4,0.125,0.0
1,Gioya Carter,8,18,6,13,2,5,2,2,0,1,1,4,0,1,5,20,0.1111111111111111,1.0
2,Gabbi Ortiz,4,9,3,5,1,4,3,3,1,4,5,0,0,4,2,12,0.3333333333333333,1.25
3,Sharane Campbell-Olds,3,10,2,4,1,6,2,2,4,4,3,2,1,2,5,9,0.2,1.5
4,Kaylon Williams,9,16,9,16,0,0,4,8,7,3,1,1,0,1,4,22,0.25,1.0
11,School Totals,28,72,22,49,6,23,14,19,14,20,11,9,1,12,28,76,0.19444444444444445,0.9166666666666666
