,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tanisha Smith,8,12,7,10,1,2,0,2,1,2,2,3,1,7,1,17,0.0,0.2857142857142857
1,Adaora Elonu,3,11,3,11,0,0,1,2,4,10,5,0,2,1,2,7,0.09090909090909091,5.0
2,Tyra White,5,9,4,6,1,3,0,0,0,4,0,4,2,3,0,11,0.0,0.0
3,Sydney Carter,3,11,2,8,1,3,0,0,0,2,2,1,1,1,3,7,0.0,2.0
4,Damitria Buchanan,0,1,0,1,0,0,0,0,3,2,0,1,0,0,2,0,0.0,0.0
8,School Totals,30,66,27,56,3,10,8,15,13,25,16,15,8,18,15,71,0.12121212121212122,0.8888888888888888
