,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristine Anigwe,6,14,6,14,0,0,6,7,5,17,2,1,0,4,3,18,0.42857142857142855,0.5
1,Recee' Caldwell,4,9,3,4,1,5,0,0,0,2,12,0,0,3,2,9,0.0,4.0
2,Asha Thomas,7,11,4,5,3,6,2,2,0,1,2,2,0,3,1,19,0.18181818181818182,0.6666666666666666
3,Jaelyn Brown,6,7,2,2,4,5,0,0,1,4,2,0,0,0,0,16,0.0,0.0
4,Kianna Smith,3,9,1,2,2,7,0,0,1,1,4,0,0,2,3,8,0.0,2.0
12,School Totals,33,63,22,37,11,26,15,16,10,32,23,3,0,13,12,92,0.23809523809523808,1.7692307692307692
