,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tatum Rembao,1,5,1,4,0,1,0,2,1,2,6,0,0,3,2,2,0.0,2.0
1,Emma Ronsiek,1,6,1,4,0,2,0,0,1,1,3,0,0,1,0,2,0.0,3.0
2,Lauren Jensen,5,15,4,11,1,4,1,1,0,1,0,0,0,1,2,12,0.06666666666666667,0.0
3,Payton Brotzki,2,6,1,3,1,3,0,0,0,1,2,0,0,2,3,5,0.0,1.0
4,Carly Bachelor,1,2,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0.0,0.0
11,School Totals,21,56,14,35,7,21,1,5,4,13,17,3,0,11,20,50,0.017857142857142856,1.5454545454545454
