,Samford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Emily London,4,9,2,6,2,3,4,4,0,2,1,1,0,4,2,14,0.4444444444444444,0.25
1,Paige Anderson,1,7,0,2,1,5,4,6,1,2,2,0,0,1,2,7,0.5714285714285714,2.0
2,Ruth Ketcham,4,7,4,6,0,1,0,0,1,1,1,0,0,2,1,8,0.0,0.5
3,Savannah Hill,1,11,1,9,0,2,2,4,2,2,3,0,0,0,4,4,0.18181818181818182,0.0
4,Hannah Dawson,2,6,0,2,2,4,0,0,1,4,0,0,1,1,2,6,0.0,0.0
13,School Totals,14,52,9,33,5,19,13,19,7,14,7,3,2,12,21,46,0.25,0.5833333333333334
