,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ward,3,7,0,2,3,5,4,4,0,3,4,0,0,3,3,13,0.5714285714285714,1.3333333333333333
1,Christian Hunnicutt,3,6,1,3,2,3,0,2,1,2,5,2,0,1,3,8,0.0,5.0
2,Alexa Deluzio,3,9,3,7,0,2,0,0,0,3,2,1,0,3,2,6,0.0,0.6666666666666666
3,Cierra Bravard,9,14,9,14,0,0,5,7,4,9,1,1,0,3,2,23,0.35714285714285715,0.3333333333333333
4,Natasha Howard,1,6,1,5,0,1,2,4,4,6,1,1,0,3,3,4,0.3333333333333333,0.3333333333333333
11,School Totals,26,55,21,44,5,11,19,28,12,35,15,5,0,16,19,76,0.34545454545454546,0.9375
