,Quinnipiac ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jen Fay,10,18,10,14,0,4,5,6,2,7,2,2,0,2,5,25,0.2777777777777778,1.0
1,Edel Thornton,2,4,2,3,0,1,0,0,0,4,5,2,0,1,1,4,0.0,5.0
2,Paula Strautmane,4,10,1,6,3,4,4,6,3,2,2,0,1,0,4,15,0.4,0.0
3,Aryn McClure,5,19,5,18,0,1,1,2,1,2,1,1,2,1,5,11,0.05263157894736842,1.0
4,Brittany Martin,0,6,0,4,0,2,2,2,0,2,0,1,0,1,1,2,0.3333333333333333,0.0
10,School Totals,23,65,19,49,4,16,15,21,10,21,11,8,3,6,20,65,0.23076923076923078,1.8333333333333333
