,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madison Guebert,4,13,2,7,2,6,1,1,0,2,1,0,0,2,2,11,0.07692307692307693,0.5
1,Tylee Irwin,3,9,3,6,0,3,2,2,3,3,2,2,1,0,3,8,0.2222222222222222,0.0
2,Macy Miller,7,18,3,13,4,5,10,12,4,7,2,1,0,6,2,28,0.5555555555555556,0.3333333333333333
3,Myah Selland,4,9,3,6,1,3,7,9,3,6,4,0,1,2,2,16,0.7777777777777778,2.0
4,Tagyn Larson,2,6,1,4,1,2,0,0,2,5,2,0,0,2,4,5,0.0,1.0
13,School Totals,24,60,16,41,8,19,20,24,14,29,14,3,2,14,17,76,0.3333333333333333,1.0
