,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Griner,8,18,8,18,0,0,11,13,0,7,2,0,10,1,3,27,0.6111111111111112,2.0
1,Kelli Griffin,1,7,1,6,0,1,8,8,0,6,7,1,0,0,0,10,1.1428571428571428,0.0
2,Morghan Medlock,6,9,6,9,0,0,0,0,3,8,1,0,1,3,4,12,0.0,0.3333333333333333
3,Melissa Jones,2,5,1,2,1,3,2,2,0,6,3,1,2,3,2,7,0.4,1.0
4,Shanay Washington,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
8,School Totals,26,53,23,46,3,7,22,25,5,33,18,2,13,12,12,77,0.41509433962264153,1.5
