,Quinnipiac ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aryn McClure,4,8,4,8,0,0,1,2,1,2,6,1,0,2,3,9,0.125,3.0
1,Jen Fay,4,9,3,6,1,3,3,4,0,4,1,0,0,1,1,12,0.3333333333333333,1.0
2,Adily Martucci,5,11,3,8,2,3,0,0,0,1,1,4,0,6,4,12,0.0,0.16666666666666666
3,Paula Strautmane,2,9,2,7,0,2,0,0,1,1,1,0,0,1,4,4,0.0,1.0
4,Edel Thornton,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0.0,0.0
13,School Totals,22,51,16,38,6,13,8,10,3,12,11,6,2,17,18,58,0.1568627450980392,0.6470588235294118
