,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sam Thomas,2,4,0,0,2,4,6,8,1,4,0,1,1,0,3,12,1.5,0.0
1,Aari McDonald,7,17,3,8,4,9,8,11,1,6,0,2,0,2,2,26,0.47058823529411764,0.0
2,Bendu Yeaney,3,7,3,5,0,2,2,2,0,4,4,1,0,2,3,8,0.2857142857142857,2.0
3,Trinity Baptiste,3,6,2,4,1,2,0,0,0,6,1,0,1,2,5,7,0.0,0.5
4,Cate Reese,3,8,3,7,0,1,5,7,0,1,0,3,0,3,4,11,0.625,0.0
8,School Totals,20,50,13,31,7,19,22,31,3,31,10,8,3,12,21,69,0.44,0.8333333333333334
