,Temple ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristen McCarthy,6,13,4,8,2,5,1,2,1,3,0,0,1,4,1,15,0.07692307692307693,0.0
1,LaKeisha Eaddy,6,15,5,10,1,5,2,2,0,4,3,6,2,6,1,15,0.13333333333333333,0.5
2,Jasmine Stone,2,8,2,8,0,0,2,5,4,8,5,2,3,2,4,6,0.25,2.5
3,Marli Bennett,2,4,1,3,1,1,1,2,3,2,0,0,0,2,1,6,0.25,0.0
4,Kristie Watkins-Day,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0.0,1.0
9,School Totals,24,57,18,40,6,17,11,16,10,20,11,10,7,17,12,65,0.19298245614035087,0.6470588235294118
