,Georgia Tech ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tyaunna Marshall,3,12,3,12,0,0,4,4,3,7,2,1,1,3,2,10,0.3333333333333333,0.6666666666666666
1,Sasha Goodlett,4,18,4,18,0,0,0,1,3,4,2,3,1,3,4,8,0.0,0.6666666666666666
2,Metra Walthour,4,8,2,3,2,5,0,0,1,0,2,2,1,5,2,10,0.0,0.4
3,Dawnn Maye,2,6,2,5,0,1,2,4,3,1,4,1,0,3,1,6,0.3333333333333333,1.3333333333333333
4,Tjasa Gortnar,0,2,0,1,0,1,0,0,2,3,0,0,0,1,3,0,0.0,0.0
11,School Totals,26,70,16,51,10,19,6,9,18,18,11,8,3,19,24,68,0.08571428571428572,0.5789473684210527
