,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittney Griner,13,18,13,18,0,0,9,11,3,7,2,2,6,1,2,35,0.5,2.0
1,Odyssey Sims,3,7,2,4,1,3,4,6,1,0,1,1,0,1,1,11,0.5714285714285714,1.0
2,Kimetria Hayden,2,7,2,5,0,2,1,2,1,0,3,2,0,3,1,5,0.14285714285714285,1.0
3,Destiny Williams,9,10,9,10,0,0,0,0,4,1,1,1,1,1,1,18,0.0,1.0
4,Jordan Madden,0,4,0,4,0,0,0,0,0,0,3,2,1,1,2,0,0.0,3.0
11,School Totals,30,56,29,50,1,6,22,30,11,19,14,9,10,11,12,83,0.39285714285714285,1.2727272727272727
