,Penn State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maggie Lucas,4,16,1,5,3,11,4,6,0,3,3,2,0,4,4,15,0.25,0.75
1,Zhaque Gray,3,9,2,5,1,4,0,0,0,1,1,0,0,1,0,7,0.0,1.0
2,Mia Nickson,8,12,8,12,0,0,3,4,3,2,1,2,1,2,1,19,0.25,0.5
3,Alex Bentley,3,15,3,12,0,3,2,2,0,1,2,2,0,3,3,8,0.13333333333333333,0.6666666666666666
4,Nikki Greene,0,1,0,1,0,0,0,0,2,2,0,1,0,3,3,0,0.0,0.0
8,School Totals,22,61,18,43,4,18,11,16,9,18,8,9,2,15,13,59,0.18032786885245902,0.5333333333333333
