,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Walker,7,21,7,20,0,1,0,0,1,4,2,1,0,0,1,14,0.0,0.0
1,Jordan Jones,4,10,2,4,2,6,2,5,1,6,2,0,0,3,1,12,0.2,0.6666666666666666
2,Achiri Ade,3,4,3,4,0,0,0,0,3,2,3,1,0,0,2,6,0.0,0.0
3,Courtney Williams,6,17,6,16,0,1,1,2,2,4,1,0,0,2,3,13,0.058823529411764705,0.5
4,Karla Gilbert,0,6,0,6,0,0,1,2,2,3,1,0,2,2,3,1,0.16666666666666666,0.5
11,School Totals,24,68,22,59,2,9,4,9,12,21,9,4,2,8,12,54,0.058823529411764705,1.125
