,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hailey Van Lith,7,11,5,6,2,5,1,1,0,1,4,1,1,2,1,17,0.09090909090909091,2.0
1,Dana Evans,6,16,5,8,1,8,2,2,0,2,1,0,0,4,3,15,0.125,0.25
2,Kianna Smith,3,7,0,2,3,5,0,0,1,4,1,1,0,2,3,9,0.0,0.5
3,Mykasa Robinson,3,5,3,5,0,0,1,1,3,4,4,2,1,0,1,7,0.2,0.0
4,Olivia Cochran,1,5,1,4,0,1,0,0,1,4,1,0,1,2,2,2,0.0,0.5
12,School Totals,28,63,18,33,10,30,8,8,8,30,16,11,8,16,23,74,0.12698412698412698,1.0
