,Western Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kendall Noble,2,8,2,6,0,2,1,2,3,7,4,2,1,2,2,5,0.125,2.0
1,Chastity Gooch,8,14,3,5,5,9,4,4,1,5,2,1,0,1,3,25,0.2857142857142857,2.0
2,Alexis Govan,6,16,3,9,3,7,5,9,1,3,0,2,0,3,4,20,0.3125,0.0
3,Micah Jones,3,7,0,0,3,7,0,0,1,1,6,0,0,0,1,9,0.0,0.0
4,Ileana Johnson,1,7,1,3,0,4,0,0,0,1,0,0,0,1,0,2,0.0,0.0
10,School Totals,21,64,9,31,12,33,10,15,8,19,13,6,3,9,13,64,0.15625,1.4444444444444444
