,Utah ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Rees,4,5,4,4,0,1,0,0,0,2,2,1,0,1,3,8,0.0,2.0
1,Kennady McQueen,6,10,2,3,4,7,2,2,0,4,0,2,0,3,2,18,0.2,0.0
2,Dru Gylten,1,3,1,3,0,0,0,0,0,2,5,0,0,4,2,2,0.0,1.25
3,Jenna Johnson,6,9,6,7,0,2,2,2,1,0,1,1,1,2,3,14,0.2222222222222222,0.5
4,Gianna Kneepkens,2,7,2,5,0,2,0,0,0,0,2,0,0,2,0,4,0.0,1.0
9,School Totals,23,45,17,25,6,20,4,4,1,13,13,4,2,18,13,56,0.08888888888888889,0.7222222222222222
