,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristen Confroy,0,2,0,2,0,0,0,0,3,2,3,0,0,1,4,0,0.0,3.0
1,Channise Lewis,2,5,2,4,0,1,1,2,0,2,1,1,0,2,3,5,0.2,0.5
2,Stephanie Jones,7,9,7,9,0,0,0,0,1,6,0,2,4,2,4,14,0.0,0.0
3,Eleanna Christinaki,1,8,1,4,0,4,3,4,0,2,0,1,0,3,2,5,0.375,0.0
4,Kaila Charles,2,8,2,8,0,0,0,0,2,1,0,1,0,3,5,4,0.0,0.0
9,School Totals,22,59,22,54,0,5,16,23,10,20,7,8,4,13,25,60,0.2711864406779661,0.5384615384615384
