,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caitlin Clark,7,21,3,9,4,12,3,4,1,2,5,2,1,5,2,21,0.14285714285714285,1.0
1,Monika Czinano,7,11,7,11,0,0,0,0,2,1,1,0,1,2,1,14,0.0,0.5
2,Gabbie Marshall,4,6,0,1,4,5,0,0,2,1,2,2,0,0,1,12,0.0,0.0
3,Kate Martin,2,9,1,4,1,5,0,0,0,5,5,1,1,3,0,5,0.0,1.6666666666666667
4,McKenna Warnock,6,9,3,5,3,4,5,5,1,4,2,1,0,3,2,20,0.5555555555555556,0.6666666666666666
8,School Totals,26,60,14,31,12,29,8,9,6,15,18,6,3,15,7,72,0.13333333333333333,1.2
