,Unnamed: 0_level_0,Unnamed: 1_level_0,Four Factors,Four Factors,Four Factors,Four Factors,Unnamed: 6_level_0
,Unnamed: 0_level_1,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
0,Hampton,77.8,0.205,21.8,28.0,0.061,39.7
1,Duke,77.8,0.655,22.1,42.1,0.4,120.5
