,Louisiana State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Adrienne Webb,5,13,5,10,0,3,1,2,0,2,2,2,0,3,3,11,0.07692307692307693,0.6666666666666666
1,LaSondra Barrett,4,11,3,8,1,3,9,9,6,6,6,1,0,4,4,18,0.8181818181818182,1.5
2,Jeanne Kenney,2,6,2,4,0,2,2,2,1,4,2,0,0,3,3,6,0.3333333333333333,0.6666666666666666
3,Courtney Jones,2,7,2,7,0,0,2,2,2,2,0,0,0,1,1,6,0.2857142857142857,0.0
4,Taylor Turnbow,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,0.0
11,School Totals,27,73,23,56,4,17,22,24,19,25,15,7,2,18,22,80,0.3013698630136986,0.8333333333333334
