,Kansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angel Goodrich,9,20,6,11,3,9,2,3,2,3,6,1,0,5,1,23,0.1,1.2
1,Aishah Sutherland,8,21,8,21,0,0,3,4,2,6,1,1,0,1,3,19,0.14285714285714285,1.0
2,Natalie Knight,2,5,2,4,0,1,0,0,1,2,3,0,0,1,2,4,0.0,3.0
3,Chelsea Gardner,7,9,7,9,0,0,0,2,3,7,1,1,2,0,3,14,0.0,0.0
4,Charlicia Cece Harper,1,7,1,4,0,3,0,0,1,1,1,1,0,0,2,2,0.0,0.0
7,School Totals,31,66,27,52,4,14,7,11,10,21,13,4,2,8,15,73,0.10606060606060606,1.625
