,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kaitlyn Chen,8,15,8,15,0,0,1,2,0,4,2,2,0,3,2,17,0.06666666666666667,0.6666666666666666
1,Abby Meyers,9,21,7,14,2,7,9,11,0,5,1,1,0,4,4,29,0.42857142857142855,0.25
2,Julia Cunningham,3,6,2,5,1,1,0,0,0,3,2,0,2,4,3,7,0.0,0.5
3,Ellie Mitchell,3,4,3,4,0,0,0,2,1,7,1,3,0,1,4,6,0.0,1.0
4,Grace Stone,2,5,2,3,0,2,3,3,0,6,1,0,0,6,3,7,0.6,0.16666666666666666
7,School Totals,26,53,23,43,3,10,14,20,4,26,9,6,2,18,17,69,0.2641509433962264,0.5
