,Albany ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ebone Henry,6,21,4,13,2,8,0,1,2,7,2,3,0,3,4,14,0.0,0.6666666666666666
1,Julie Forster,3,11,3,11,0,0,2,4,6,6,1,1,0,6,5,8,0.18181818181818182,0.16666666666666666
2,Cassandra Callaway,1,10,1,10,0,0,0,1,1,0,3,0,0,7,2,2,0.0,0.42857142857142855
3,Adrienne Jones,1,7,1,6,0,1,2,4,3,3,1,2,0,2,1,4,0.2857142857142857,0.5
4,Megan Craig,4,5,4,5,0,0,1,3,2,5,0,0,3,2,2,9,0.2,0.0
10,School Totals,19,60,16,50,3,10,6,16,19,23,8,8,3,24,19,47,0.1,0.3333333333333333
