,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Taelor Karr,6,17,5,10,1,7,1,2,0,4,1,0,0,3,3,14,0.058823529411764705,0.3333333333333333
1,Brittany Chambers,7,20,3,8,4,12,0,0,7,5,0,0,0,3,1,18,0.0,0.0
2,Mariah White,0,4,0,4,0,0,0,0,3,1,4,1,0,2,3,0,0.0,2.0
3,Branshea Brown,2,6,2,6,0,0,0,0,3,8,0,1,0,4,3,4,0.0,0.0
4,Chantay Caron,1,4,1,3,0,1,0,0,2,0,0,0,0,0,0,2,0.0,0.0
8,School Totals,19,63,13,40,6,23,1,2,18,22,6,3,0,14,15,45,0.015873015873015872,0.42857142857142855
