,Purdue ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Rayburn,7,15,6,9,1,6,6,6,1,1,0,0,0,2,2,21,0.4,0.0
1,Drey Mingo,6,9,3,5,3,4,1,2,0,7,0,0,4,3,1,16,0.1111111111111111,0.0
2,Chelsea Jones,0,2,0,2,0,0,0,0,0,5,1,2,2,0,1,0,0.0,0.0
3,Courtney Moses,1,4,1,3,0,1,3,4,0,0,5,1,0,1,1,5,0.75,5.0
4,Chantel Poston,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
9,School Totals,17,42,12,28,5,14,14,16,3,20,9,6,6,13,9,53,0.3333333333333333,0.6923076923076923
