,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Natasha Mack,13,22,13,22,0,0,1,1,4,11,4,2,4,1,1,27,0.045454545454545456,4.0
1,Ja'Mee Asberry,6,15,2,5,4,10,2,2,1,5,3,2,0,1,1,18,0.13333333333333333,3.0
2,Neferatali Notoa,4,9,3,6,1,3,0,0,1,2,6,1,1,3,0,9,0.0,2.0
3,Taylen Collins,3,3,3,3,0,0,0,2,1,2,2,1,2,1,1,6,0.0,2.0
4,Lauren Fields,2,7,2,4,0,3,2,3,1,3,4,2,0,1,0,6,0.2857142857142857,4.0
12,School Totals,35,65,27,44,8,21,6,9,8,26,21,9,7,9,7,84,0.09230769230769231,2.3333333333333335
