,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lexi Rydalch,9,19,7,14,2,5,5,7,3,5,4,2,1,3,3,25,0.2631578947368421,1.3333333333333333
1,Morgan Bailey,6,12,5,9,1,3,0,0,3,9,1,1,2,2,3,13,0.0,0.5
2,Kylie Maeda,5,6,3,3,2,3,2,4,0,4,2,0,0,2,1,14,0.3333333333333333,1.0
3,Jennifer Hamson,3,10,3,10,0,0,6,7,4,15,1,0,9,0,1,12,0.6,0.0
4,Kim Beeston,1,8,0,2,1,6,0,0,2,2,4,0,1,5,4,3,0.0,0.8
8,School Totals,26,58,19,39,7,19,13,18,14,36,13,4,15,15,17,72,0.22413793103448276,0.8666666666666667
