,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kody Burke,2,18,0,7,2,11,0,0,3,6,1,3,1,2,2,6,0.0,0.5
1,Len'Nique Brown-Hoskin,3,14,2,8,1,6,3,3,0,3,5,1,0,1,4,10,0.21428571428571427,5.0
2,Markeisha Gatling,5,14,5,14,0,0,1,2,2,6,1,3,0,2,4,11,0.07142857142857142,0.5
3,Miah Spencer,5,14,3,9,2,5,4,4,2,3,4,2,0,1,4,16,0.2857142857142857,4.0
4,Krystal Barrett,3,8,2,6,1,2,0,0,1,1,0,1,1,1,2,7,0.0,0.0
8,School Totals,20,73,13,46,7,27,10,14,12,19,11,11,2,7,17,57,0.136986301369863,1.5714285714285714
