,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Connecticut ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Ashley Auguerson,31,.292,.292,.417,.000,5.3,6.5,5.6,11.6,0.0,3.6,14.3,22.0,58,140
1,Carneta Henderson,31,.500,.500,.667,.000,0.0,12.9,3.7,18.8,1.8,0.0,50.0,9.4,55,136
2,Hannah Kador,28,.218,.182,.636,.091,0.0,28.6,8.3,13.3,2.0,0.0,11.6,45.0,45,131
3,Tiffany Foster,19,.253,.000,.333,.667,0.0,10.5,3.1,14.0,5.8,0.0,50.8,20.2,30,127
4,Freda Allen,16,.500,.500,.000,.000,5.1,0.0,3.6,20.0,6.9,6.9,0.0,6.1,121,124
6,Jamie Floyd,29,.273,.273,.000,.000,11.3,6.9,10.0,0.0,0.0,3.8,8.3,20.2,61,140
7,Essence Hopkins,14,.309,.333,.000,.167,11.7,0.0,8.3,0.0,0.0,0.0,0.0,22.4,71,143
8,Tenesha Brown,14,.303,.375,1.000,.500,5.8,0.0,4.1,0.0,3.9,0.0,0.0,17.0,68,134
9,Laneisha Stephens,11,.000,.000,.000,.000,7.4,18.2,10.5,0.0,5.0,0.0,0.0,4.4,27,127
10,Ebony Sellers,5,1.000,1.000,.000,.000,0.0,0.0,0.0,100.0,0.0,0.0,50.0,19.5,104,143
11,Kimberly Griffin,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,142
12,School Totals,200,.285,.269,.400,.108,22.4,50.0,30.4,46.7,11.1,8.3,17.0,100.0,54.2,131.9
